Timestamp,1. Gender:,2. Age:,3. Academic Level:,4. Religion:,5. Ethnicity:,6. Marital Status:,7.Employement Status:,8.  Are you familiar with the terms “pro-life” and “pro-choice”?,9. What is your stance on abortion?,10. Have you participated in a pro-life or pro-choice demonstration?,11. what is your opinion on UCC’s policies regarding abortion?,12. Do you believe that access to contraception can help reduce the need for abortion?,"13. Do you think individuals should have the right to choose their own healthcare, including the right to access abortion services?",14. Have your views on abortion changed over time?,15. what do you think is the most important factor when discussing abortion?,16. Do you think individuals with religious beliefs should have the right to refuse to provide or participate in abortion services ?,17. Do you think the government should provide funding for abortion services ?,18. Do you think comprehensive sex education should be thought in school?
2023/07/19 4:29:09 pm GMT,0,0 years,2,3,0,1,2,1,2,2,1,0,0,1,4,1,0,0
2023/07/19 5:10:14 pm GMT,1,0 years,2,0,4,1,2,2,2,2,2,0,0,2,4,2,2,0
2023/07/19 6:36:14 pm GMT,0,0 years,2,0,2,1,2,1,1,2,1,0,1,1,2,0,2,0
2023/07/19 6:57:18 pm GMT,1,0 years,2,0,0,1,2,0,0,0,1,0,0,1,2,1,2,0
2023/07/19 9:43:31 pm GMT,1,0 years,3,0,2,1,2,1,0,2,2,0,0,2,4,1,0,1
2023/07/19 10:05:30 pm GMT,1,0 years,2,0,2,1,2,1,0,2,0,0,0,2,4,2,1,0
2023/07/20 12:18:46 am GMT,0,0 years,2,0,2,1,2,0,1,1,0,0,0,1,0,0,1,0
2023/07/20 2:33:08 am GMT,1,0 years,2,0,0,1,2,2,0,2,0,1,1,2,4,0,1,0
2023/07/20 6:21:55 am GMT,1,0 years,2,0,0,1,2,1,1,2,1,0,0,0,2,0,0,0
2023/07/20 11:16:27 am GMT,0,0 years,2,0,0,1,2,0,0,2,0,0,0,2,4,1,1,0
2023/07/20 12:41:27 pm GMT,0,0 years,2,0,2,4,2,2,2,2,2,0,0,2,0,2,1,0
2023/07/20 7:54:19 pm GMT,1,0 years,2,0,1,1,2,1,2,2,1,0,0,1,4,0,1,0
2023/07/20 8:37:52 pm GMT,0,0 years,2,0,0,1,2,1,1,2,1,0,0,2,2,2,0,0
2023/07/20 9:01:58 pm GMT,1,0 years,2,0,0,1,2,1,2,2,2,0,1,2,3,0,1,0
2023/07/20 9:29:31 pm GMT,1,0 years,0,0,9,1,2,1,0,2,1,0,0,2,4,0,1,0
2023/07/20 9:46:14 pm GMT,0,1 years,3,0,0,1,1,1,0,2,0,0,1,0,4,0,1,0
2023/07/20 10:10:59 pm GMT,1,0 years,2,0,0,4,2,1,2,2,2,1,1,2,4,2,2,0
2023/07/20 10:26:26 pm GMT,1,0 years,3,0,3,1,2,1,2,2,2,0,0,2,4,0,2,0
2023/07/20 11:04:21 pm GMT,1,1 years,3,0,1,1,2,0,0,2,0,0,1,2,3,0,1,0
2023/07/21 7:42:06 am GMT,1,0 years,1,0,9,1,2,0,1,2,1,0,0,0,0,0,1,0
2023/07/21 1:39:20 pm GMT,1,0 years,2,0,1,4,2,2,2,2,2,1,0,1,0,2,0,1
2023/07/21 7:00:11 pm GMT,0,0 years,0,0,4,1,2,1,1,2,1,0,0,1,2,1,2,0
2023/07/22 1:40:58 pm GMT,0,0 years,2,0,9,1,2,1,1,1,1,1,0,1,4,2,0,0
2023/07/22 6:08:17 pm GMT,0,0 years,2,0,0,1,2,1,2,2,2,0,0,2,4,1,0,0
2023/07/23 6:41:28 am GMT,1,1 years,4,0,3,1,0,1,2,2,0,0,1,0,4,0,2,0
2023/07/23 1:09:34 pm GMT,0,0 years,0,0,0,1,2,2,0,2,0,0,1,2,4,0,2,0
